;touches;passes_def;passes_mid;passes_att;passes_forward;passes_backward;passes_vertical;passes_left;passes_right;passes_horizontal;passes_long;passes_short;crosses;shots;goals_scored;goals_received;possession;match;Link
grêmio;688;76;336;165;332;242;574;291;285;576;35;542;15;17;3;3;63;;https://1xbet.whoscored.com/Matches/1457893/Live/Brazil-Brasileirão-2020-Gremio-Santos-FC
santos;459;91;154;104;217;131;348;161;188;349;37;312;16;9;3;3;37;;https://1xbet.whoscored.com/Matches/1457893/Live/Brazil-Brasileirão-2020-Gremio-Santos-FC
Fortaleza;544;93;243;115;253;197;450;233;218;451;64;387;18;11;0;2;44;Round 1 - Fortaleza x Athletico Paranaense;https://1xbet.whoscored.com/Matches/1457761/Live/Brazil-Brasileirão-2020-Fortaleza-Athletico-Paranaense
Athletico Paranaense;682;181;294;104;324;253;577;294;284;578;62;517;9;13;2;0;56;Round 1 - Fortaleza x Athletico Paranaense;https://1xbet.whoscored.com/Matches/1457761/Live/Brazil-Brasileirão-2020-Fortaleza-Athletico-Paranaense
Coritiba;564;87;241;88;295;117;412;202;212;414;55;361;12;2;0;1;43;Round 1 - Coritiba x Internacional;https://1xbet.whoscored.com/Matches/1457568/Live/Brazil-Brasileirão-2020-Coritiba-Internacional
Internacional;696;83;298;177;332;225;557;283;274;557;61;497;30;11;1;0;57;Round 1 - Coritiba x Internacional;https://1xbet.whoscored.com/Matches/1457568/Live/Brazil-Brasileirão-2020-Coritiba-Internacional
Sport Recife;526;43;213;109;232;129;361;180;181;361;58;307;13;9;3;2;40;Round 1 - Sport Recife x Ceara;https://1xbet.whoscored.com/Matches/1457569/Live/Brazil-Brasileirão-2020-Sport-Recife-Ceara
Ceara;671;103;299;127;345;183;528;261;266;527;47;482;12;11;2;3;60;Round 1 - Sport Recife x Ceara;https://1xbet.whoscored.com/Matches/1457569/Live/Brazil-Brasileirão-2020-Sport-Recife-Ceara
Santos;624;145;249;90;334;147;481;246;236;482;56;428;19;10;1;1;54;Round 1 - Santos x Red Bull;https://1xbet.whoscored.com/Matches/1457762/Live/Brazil-Brasileirão-2020-Santos-FC-Red-Bull-Bragantino
Red Bull;561;68;173;180;283;134;417;220;197;417;49;372;19;18;1;1;46;Round 1 - Santos x Red Bull;https://1xbet.whoscored.com/Matches/1457762/Live/Brazil-Brasileirão-2020-Santos-FC-Red-Bull-Bragantino
Flamengo;725;155;273;146;360;211;571;299;273;572;56;518;19;18;0;1;62;Round 1 - Flamengo x Altetico MG;https://1xbet.whoscored.com/Matches/1457559/Live/Brazil-Brasileirão-2020-Flamengo-Atletico-MG
Atletico Mg;497;88;154;99;222;118;340;185;154;339;64;500;6;10;1;0;38;Round 1 - Flamengo x Altetico MG;https://1xbet.whoscored.com/Matches/1457559/Live/Brazil-Brasileirão-2020-Flamengo-Atletico-MG
Gremio;695;57;291;193;354;184;538;276;264;540;54;487;17;15;1;0;53;Round 1 - Gremio x Fluminense;https://1xbet.whoscored.com/Matches/1457570/Live/Brazil-Brasileirão-2020-Gremio-Fluminense
