team;touches;passes_def;passes_mid;passes_att;passes_forward;passes_backward;passes_left;passes_right;passes_long;passes_short;crosses;shots;goals_scored;goals_received;possession;match;Link
grêmio;688;76;336;165;332;242;291;285;35;542;15;17;3;3;62,8;;https://1xbet.whoscored.com/Matches/1457893/Live/Brazil-Brasileirão-2020-Gremio-Santos-FC
santos;459;91;154;104;217;131;161;188;37;312;16;9;3;3;37,2;;https://1xbet.whoscored.com/Matches/1457893/Live/Brazil-Brasileirão-2020-Gremio-Santos-FC
Fortaleza;544;93;243;115;253;197;233;218;64;387;18;11;0;2;43,8;Round 1 - Fortaleza x Athletico Paranaense;https://1xbet.whoscored.com/Matches/1457761/Live/Brazil-Brasileirão-2020-Fortaleza-Athletico-Paranaense
Athletico Paranaense;682;181;294;104;324;253;294;284;62;517;9;13;2;0;56,2;Round 1 - Fortaleza x Athletico Paranaense;https://1xbet.whoscored.com/Matches/1457761/Live/Brazil-Brasileirão-2020-Fortaleza-Athletico-Paranaense
Coritiba;564;87;241;88;295;117;202;212;55;361;12;2;0;1;42,6;Round 1 - Coritiba x Internacional;https://1xbet.whoscored.com/Matches/1457568/Live/Brazil-Brasileirão-2020-Coritiba-Internacional
Internacional;696;83;298;177;332;225;283;274;61;497;30;11;1;0;57,4;Round 1 - Coritiba x Internacional;https://1xbet.whoscored.com/Matches/1457568/Live/Brazil-Brasileirão-2020-Coritiba-Internacional
Sport Recife;526;43;213;109;232;129;180;181;58;307;13;9;3;2;40,2;Round 1 - Sport Recife x Ceara;https://1xbet.whoscored.com/Matches/1457569/Live/Brazil-Brasileirão-2020-Sport-Recife-Ceara
Ceara;671;103;299;127;345;183;261;266;47;482;12;11;2;3;59,8;Round 1 - Sport Recife x Ceara;https://1xbet.whoscored.com/Matches/1457569/Live/Brazil-Brasileirão-2020-Sport-Recife-Ceara
Santos;624;145;249;90;334;147;246;236;56;428;19;10;1;1;53,7;Round 1 - Santos x Red Bull;https://1xbet.whoscored.com/Matches/1457762/Live/Brazil-Brasileirão-2020-Santos-FC-Red-Bull-Bragantino
Red Bull;561;68;173;180;283;134;220;197;49;372;19;18;1;1;46,3;Round 1 - Santos x Red Bull;https://1xbet.whoscored.com/Matches/1457762/Live/Brazil-Brasileirão-2020-Santos-FC-Red-Bull-Bragantino
Flamengo;725;155;273;146;360;211;299;273;56;518;19;18;0;1;62,4;Round 1 - Flamengo x Altetico MG;https://1xbet.whoscored.com/Matches/1457559/Live/Brazil-Brasileirão-2020-Flamengo-Atletico-MG
Atletico Mg;497;88;154;99;222;118;185;154;64;500;6;10;1;0;37,6;Round 1 - Flamengo x Altetico MG;https://1xbet.whoscored.com/Matches/1457559/Live/Brazil-Brasileirão-2020-Flamengo-Atletico-MG
Gremio;695;57;291;193;354;184;276;264;54;487;17;15;1;0;52,5;Round 1 - Gremio x Fluminense;https://1xbet.whoscored.com/Matches/1457570/Live/Brazil-Brasileirão-2020-Gremio-Fluminense
Fluminense;658;127;247;107;307;172;248;233;56;425;15;10;0;1;47,5;Round 1 - Gremio x Fluminense;https://1xbet.whoscored.com/Matches/1457570/Live/Brazil-Brasileirão-2020-Gremio-Fluminense
Athletico Paranaense;907;142;449;179;454;314;371;398;78;692;16;19;2;1;78,5;Round 2 - Athletico Paranaense x Goias;https://1xbet.whoscored.com/Matches/1457560/Live/Brazil-Brasileirão-2020-Athletico-Paranaense-Goias
Goias;372;25;105;95;146;79;132;92;48;177;9;13;1;2;21,5;Round 2 - Athletico Paranaense x Goias;https://1xbet.whoscored.com/Matches/1457560/Live/Brazil-Brasileirão-2020-Athletico-Paranaense-Goias
Atletico Mg;721;85;265;221;362;207;282;282;52;519;30;25;3;2;55,4;Round 2 - Atletico Mg x Corinthians;https://1xbet.whoscored.com/Matches/1457563/Live/Brazil-Brasileirão-2020-Atletico-MG-Corinthians
Corinthians;628;151;215;90;304;150;237;214;69;386;10;8;2;3;44,6;Round 2 - Atletico Mg x Corinthians;https://1xbet.whoscored.com/Matches/1457563/Live/Brazil-Brasileirão-2020-Atletico-MG-Corinthians
Red Bull;747;70;280;264;400;213;313;299;42;572;30;23;1;1;54,4;Round 2 - Red Bull x Botafogo;https://1xbet.whoscored.com/Matches/1457564/Live/Brazil-Brasileirão-2020-Red-Bull-Bragantino-Botafogo-RJ
Botafogo;651;148;270;95;333;179;266;244;51;462;16;9;1;1;45,6;Round 2 - Red Bull x Botafogo;https://1xbet.whoscored.com/Matches/1457564/Live/Brazil-Brasileirão-2020-Red-Bull-Bragantino-Botafogo-RJ
Bahia;597;81;246;128;307;148;254;199;52;403;12;12;1;0;45,7;Round 2 - Bahia x Coritiba;https://1xbet.whoscored.com/Matches/1457561/Live/Brazil-Brasileirão-2020-Bahia-Coritiba
Coritiba;688;143;235;156;350;182;266;268;57;477;29;15;0;1;54,3;Round 2 - Bahia x Coritiba;https://1xbet.whoscored.com/Matches/1457561/Live/Brazil-Brasileirão-2020-Bahia-Coritiba
Atletico GO;469;76;134;119;229;98;167;158;52;277;24;13;3;0;34,9;Round 2 - Atletico GO x Flamengo;https://1xbet.whoscored.com/Matches/1457575/Live/Brazil-Brasileirão-2020-Atletico-GO-Flamengo
Flamengo;746;73;334;199;373;227;315;288;32;574;23;9;0;3;65,1;Round 2 - Atletico GO x Flamengo;https://1xbet.whoscored.com/Matches/1457575/Live/Brazil-Brasileirão-2020-Atletico-GO-Flamengo
Fluminense;629;103;235;123;301;158;216;243;53;408;12;10;1;1;51,7;Round 2 - Fluminense x Palmeiras;https://1xbet.whoscored.com/Matches/1457567/Live/Brazil-Brasileirão-2020-Fluminense-Palmeiras
Palmeiras;574;70;242;118;280;148;199;229;49;381;13;9;1;1;48,3;Round 2 - Fluminense x Palmeiras;https://1xbet.whoscored.com/Matches/1457567/Live/Brazil-Brasileirão-2020-Fluminense-Palmeiras
Ceara;607;97;248;116;286;175;148;213;58;403;13;11;1;1;42,3;Round 2 - Ceara x Gremio;https://1xbet.whoscored.com/Matches/1457574/Live/Brazil-Brasileirão-2020-Ceara-Gremio
Gremio;774;79;364;176;381;238;320;298;47;572;19;14;1;1;57,7;Round 2 - Ceara x Gremio;https://1xbet.whoscored.com/Matches/1457574/Live/Brazil-Brasileirão-2020-Ceara-Gremio
Sao Paulo;628;116;279;114;313;195;260;247;58;451;16;13;1;0;51,7;Round 2 - Sao Paulo x Fortaleza;https://1xbet.whoscored.com/Matches/1457565/Live/Brazil-Brasileirão-2020-Sao-Paulo-Fortaleza
Fortaleza;443;113;258;106;295;180;230;245;57;420;14;12;0;1;48,3;Round 2 - Sao Paulo x Fortaleza;https://1xbet.whoscored.com/Matches/1457565/Live/Brazil-Brasileirão-2020-Sao-Paulo-Fortaleza
Internacional;712;83;272;209;344;220;272;289;55;509;33;25;2;0;58,2;Round 2 - Internacional x Santos;https://1xbet.whoscored.com/Matches/1457562/Live/Brazil-Brasileirão-2020-Internacional-Santos-FC
Santos;607;147;198;66;285;124;184;221;45;366;10;6;0;2;41,8;Round 2 - Internacional x Santos;https://1xbet.whoscored.com/Matches/1457562/Live/Brazil-Brasileirão-2020-Internacional-Santos-FC
Vasco;556;84;220;96;249;151;188;210;45;355;10;9;2;0;46,2;Round 2 - Vasco x Sport Recife;https://1xbet.whoscored.com/Matches/1457566/Live/Brazil-Brasileirão-2020-Vasco-da-Gama-Sport-Recife
Sport Recife;626;68;245;160;304;167;247;226;35;438;25;13;0;2;53,8;Round 2 - Vasco x Sport Recife;https://1xbet.whoscored.com/Matches/1457566/Live/Brazil-Brasileirão-2020-Vasco-da-Gama-Sport-Recife
Gremio;718;47;248;256;340;207;266;283;40;511;36;24;0;0;47,6;Round 3 - Gremio x Corinthians;https://1xbet.whoscored.com/Matches/1457584/Live/Brazil-Brasileirão-2020-Gremio-Corinthians
Corinthians;771;132;354;109;358;232;310;284;47;548;12;5;0;0;52,4;Round 3 - Gremio x Corinthians;https://1xbet.whoscored.com/Matches/1457584/Live/Brazil-Brasileirão-2020-Gremio-Corinthians
Coritiba;461;97;143;95;229;105;174;160;56;279;15;9;0;1;35,1;Round 3 - Coritiba x Flamengo;https://1xbet.whoscored.com/Matches/1457582/Live/Brazil-Brasileirão-2020-Coritiba-Flamengo
Flamengo;732;122;278;179;346;233;297;281;61;518;18;18;1;0;64,9;Round 3 - Coritiba x Flamengo;https://1xbet.whoscored.com/Matches/1457582/Live/Brazil-Brasileirão-2020-Coritiba-Flamengo
Palmeiras;891;106;386;230;458;262;353;367;44;678;26;12;1;1;65;Round 3 - Palmeiras x Goias;https://1xbet.whoscored.com/Matches/1457587/Live/Brazil-Brasileirão-2020-Palmeiras-Goias
Goias;568;49;223;122;257;135;214;179;70;324;6;11;1;1;35;Round 3 - Palmeiras x Goias;https://1xbet.whoscored.com/Matches/1457587/Live/Brazil-Brasileirão-2020-Palmeiras-Goias
Atletico Mg;644;111;243;164;327;190;260;253;67;451;21;11;2;0;60,8;Round 3 - Atletico MG x Ceara;https://1xbet.whoscored.com/Matches/1457585/Live/Brazil-Brasileir%C3%A3o-2020-Atletico-MG-Ceara
Ceara;478;76;145;114;224;111;158;173;70;265;8;3;0;2;39,2;Round 3 - Atletico MG x Ceara;https://1xbet.whoscored.com/Matches/1457585/Live/Brazil-Brasileir%C3%A3o-2020-Atletico-MG-Ceara
Vasco;554;108;209;93;253;155;211;197;60;350;8;8;2;1;40,2;Round 3 - Vasco x Sao Paulo;https://1xbet.whoscored.com/Matches/1457588/Live/Brazil-Brasileirão-2020-Vasco-da-Gama-Sao-Paulo
Sao Paulo;723;105;323;178;372;234;306;298;42;564;19;11;1;2;59,8;Round 3 - Vasco x Sao Paulo;https://1xbet.whoscored.com/Matches/1457588/Live/Brazil-Brasileirão-2020-Vasco-da-Gama-Sao-Paulo
Bahia;577;74;251;86;278;132;218;188;53;358;8;10;2;1;42,6;Round 3 - Bahia x Red Bull;https://1xbet.whoscored.com/Matches/1457583/Live/Brazil-Brasileirão-2020-Bahia-Red-Bull-Bragantino
Red Bull;694;64;266;226;360;192;276;279;52;504;24;16;1;2;57,4;Round 3 - Bahia x Red Bull;https://1xbet.whoscored.com/Matches/1457583/Live/Brazil-Brasileirão-2020-Bahia-Red-Bull-Bragantino
Fluminense;552;72;205;96;246;126;182;191;46;327;8;10;2;1;43,5;Round 3 - Fluminense x Internacional;https://1xbet.whoscored.com/Matches/1457589/Live/Brazil-Brasileirão-2020-Fluminense-Internacional
Internacional;612;91;264;121;304;169;232;241;60;416;16;9;1;2;56,5;Round 3 - Fluminense x Internacional;https://1xbet.whoscored.com/Matches/1457589/Live/Brazil-Brasileirão-2020-Fluminense-Internacional
