team_name;opp_team_name;team_goal_count;opp_team_goal_count;team_corner_count;opp_team_corner_count;team_yellow_cards;team_red_cards;opp_team_yellow_cards;opp_team_red_cards;team_shots;opp_team_shots;team_shots_on_target;opp_team_shots_on_target;team_shots_off_target;opp_team_shots_off_target;team_fouls;opp_team_fouls;team_possession;opp_team_possession
Chelsea;Arsenal;3;2;5;1;0;0;2;0;19;13;12;7;7;6;12;9;62;38
Chelsea;AFC Bournemouth;2;0;7;6;2;0;2;0;13;8;7;2;6;6;10;7;72;28
Chelsea;Cardiff City;4;1;5;4;0;0;0;0;16;7;8;3;8;4;8;10;76;24
Chelsea;Liverpool;1;1;4;4;0;0;2;0;9;13;5;7;4;6;7;9;47;53
Chelsea;Manchester United;2;2;5;3;2;0;5;0;15;8;7;5;8;3;9;17;62;38
Chelsea;Crystal Palace;3;1;4;2;0;0;1;0;12;5;7;3;5;2;6;13;73;27
Chelsea;Everton;0;0;5;5;4;0;3;0;12;5;5;2;7;3;7;11;68;32
Chelsea;Fulham;2;0;4;6;2;0;1;0;11;9;10;5;1;4;8;17;66;34
Chelsea;Manchester City;2;0;1;13;2;0;0;0;7;11;6;5;1;6;12;11;38;62
Chelsea;Leicester City;0;1;9;5;0;0;2;0;14;6;6;4;8;2;10;9;72;28
Chelsea;Southampton;0;0;7;2;1;0;2;0;9;6;7;3;2;3;8;11;71;29
Chelsea;Newcastle United;2;1;8;5;1;0;1;0;9;9;7;3;2;6;6;13;65;35
Chelsea;Huddersfield Town;5;0;11;2;0;0;0;0;16;4;8;3;8;1;8;5;65;35
Chelsea;Tottenham Hotspur;2;0;2;2;1;0;1;0;10;6;2;0;8;6;7;14;46;54
Chelsea;Wolverhampton Wanderers;1;1;13;0;1;0;4;0;9;3;7;2;2;1;8;14;75;25
Chelsea;Brighton & Hove Albion;3;0;7;1;0;0;0;0;13;4;5;2;8;2;5;9;68;32
Chelsea;West Ham United;2;0;7;4;2;0;1;0;14;6;8;3;6;3;8;7;54;46
Chelsea;Burnley;2;2;10;1;2;0;1;0;18;6;10;4;8;2;9;4;76;24
Chelsea;Watford;3;0;6;6;0;0;1;0;16;14;10;4;6;10;6;12;58;42
Chelsea;Huddersfield Town;3;0;5;2;1;0;2;0;8;6;5;2;3;4;8;9;63;37
Chelsea;Newcastle United;2;1;5;4;1;0;3;0;11;5;4;3;7;2;8;16;82;18
Chelsea;West Ham United;0;0;8;1;1;0;2;0;13;6;7;2;6;4;9;11;72;28
Chelsea;Southampton;3;0;12;4;0;0;6;0;10;13;7;7;3;6;11;13;66;34
Chelsea;Burnley;4;0;4;4;2;0;4;0;18;6;9;2;9;4;10;14;70;30
Chelsea;Tottenham Hotspur;1;3;4;4;3;0;0;0;8;16;3;10;5;6;12;19;61;39
Chelsea;Wolverhampton Wanderers;1;2;5;1;4;0;4;0;14;6;4;3;10;3;10;18;71;29
Chelsea;Brighton & Hove Albion;2;1;1;4;2;0;2;0;8;6;4;3;4;3;6;14;59;41
Chelsea;Watford;2;1;4;3;0;0;1;0;10;9;5;3;5;6;5;15;65;35
Chelsea;Crystal Palace;1;0;4;3;1;0;0;0;9;3;5;0;4;3;8;11;66;34
Chelsea;Arsenal;0;2;6;5;2;0;0;0;11;13;2;6;9;7;15;13;65;35
Chelsea;AFC Bournemouth;0;4;7;3;0;0;1;0;10;10;8;8;2;2;6;8;68;32
Chelsea;Manchester City;0;6;2;2;2;0;1;0;8;15;5;10;3;5;13;9;45;55
Chelsea;Fulham;2;1;4;5;1;0;2;0;13;10;8;6;5;4;10;11;64;36
Chelsea;Everton;0;2;4;3;2;0;1;0;11;13;6;9;5;4;9;17;68;32
Chelsea;Cardiff City;2;1;7;2;3;0;2;0;13;8;4;4;9;4;14;8;72;28
Chelsea;Liverpool;0;2;2;9;1;0;0;0;6;11;4;8;2;3;9;5;39;61
Chelsea;Manchester United;1;1;6;6;2;0;3;0;11;8;4;6;7;2;14;9;49;51
Chelsea;Leicester City;0;0;5;4;1;0;0;0;12;8;5;4;7;4;8;9;54;46
